id,Nome_KOI,Nome_Kepler,Disposicao_KOI,Pontuacao_KOI,Periodo_Orbital,Raio_Planeta,Temperatura_Equilibrio,Fluxo_Insolacao,Temperatura_Efetiva,Gravidade_Surface,Erro_Periodo_Orbital_+,Erro_Periodo_Orbital_-,Flag_Nao_Transito,Flag_Sinal_Secundario,Flag_Contaminacao,Flag_Contaminacao_Ecliptica
5008501,K01666.01,Kepler-8309 rr,CANDIDATE,0.045,0.968026356,1.78,2167.0,5205.91,3576.1111111111113,4.385,1.011e-06,-1.011e-06,0,0,0,0
5184709,K01670.01,Kepler-8448 r,CANDIDATE,0.384,10.57910009,2.03,929.0,175.79,3495.0,4.418,3.362e-05,-3.362e-05,0,0,0,0
5195172,K01671.01,Kepler-1763 b,CONFIRMED,0.979,1.480283464,0.97,1822.0,2597.27,3258.3333333333335,4.25,6.172e-06,-6.172e-06,0,0,0,0
8832512,K01821.01,Kepler-963 b,CONFIRMED,1.0,9.97682072,2.85,802.0,97.85,3037.777777777778,4.416,3.432e-05,-3.432e-05,0,0,0,0
7778664,K07849.01,Kepler-3106 rr,CANDIDATE,0.921,5.0263815,0.84,1065.0,305.12,3195.0,4.418,0.0001505,-0.0001505,0,0,0,0
5211199,K02158.02,Kepler-253 r,CANDIDATE,1.0,6.68231249,2.09,1350.0,784.74,2950.5555555555557,3.764,5.906e-05,-5.906e-05,0,0,0,0
8189801,K02480.01,Kepler-9484 rr,CANDIDATE,1.0,0.66682654,1.49,1183.0,461.55,2200.5555555555557,4.696,6.82e-07,-6.82e-07,0,0,0,0
9280239,K03975.01,Kepler-1536 b,CONFIRMED,0.99,364.751562,2.89,166.0,0.18,2418.8888888888887,4.629,0.005117,-0.005117,0,0,0,0
9886255,K01846.01,Kepler-976 b,CONFIRMED,1.0,105.9566815,3.79,324.0,2.59,2941.6666666666665,4.581,0.0003911,-0.0003911,0,0,0,0
10028352,K01957.01,Kepler-2588 rr,CANDIDATE,1.0,1.38680229,29.33,2530.0,9703.01,3772.777777777778,4.04,8.76e-07,-8.76e-07,0,0,0,0
9205938,K02162.02,Kepler-1126 c,CONFIRMED,0.92,199.66876,1.45,305.0,2.06,3136.6666666666665,4.409,0.003961,-0.003961,0,0,0,0
6803855,K01695.01,Kepler-930 b,CONFIRMED,0.99,71.4523167,2.19,561.0,23.44,3397.777777777778,4.132,0.0006386,-0.0006386,0,0,0,0
10153855,K01981.01,Kepler-1037 b,CONFIRMED,1.0,1.06378861,1.61,1650.0,1761.19,2907.222222222222,4.4,2.263e-06,-2.263e-06,0,0,0,0
7762723,K02663.01,Kepler-1867 b,CONFIRMED,1.0,9.88736642,0.68,768.0,82.32,3145.0,4.57,8.5e-05,-8.5e-05,0,0,0,0
4178606,K02728.01,Kepler-1326 b,CONFIRMED,0.999,42.3520039,6.3,938.0,182.91,3795.5555555555557,3.783,0.0003318,-0.0003318,0,0,0,0
5980208,K02742.01,Kepler-1331 b,CONFIRMED,1.0,0.789160884,0.91,1244.0,564.46,2347.777777777778,4.635,1.302e-06,-1.302e-06,0,0,0,0
8036287,K03984.01,Kepler-1537 b,CONFIRMED,1.0,1.44445234,2.03,1800.0,2479.44,2929.4444444444443,4.088,3.115e-06,-3.115e-06,0,0,0,0
11187436,K01804.01,Kepler-957 b,CONFIRMED,1.0,5.90741476,5.1,769.0,82.73,2739.4444444444443,4.585,3.939e-05,-3.939e-05,0,0,0,0
7134626,K07818.01,Kepler-2566 r,CANDIDATE,0.999,2.52443998,1.53,2145.0,4998.98,3571.6666666666665,3.846,2.092e-05,-2.092e-05,0,0,0,0
9823519,K02793.01,Kepler-1350 b,CONFIRMED,1.0,4.49686066,1.93,535.0,19.34,2036.6666666666667,4.81,1.289e-05,-1.289e-05,0,0,0,0
11246161,K02796.01,Kepler-3445 rr,CANDIDATE,0.997,0.5374094,0.96,2208.0,5646.82,3176.1111111111113,4.457,1.333e-06,-1.333e-06,0,0,0,0
7047824,K02806.01,Kepler-1353 b,CONFIRMED,1.0,24.7543849,2.1,491.0,13.7,2677.777777777778,4.519,0.0001365,-0.0001365,0,0,0,0
11358389,K02163.02,Kepler-365 c,CONFIRMED,1.0,17.7838298,1.6,729.0,66.87,3323.3333333333335,4.436,0.0001314,-0.0001314,0,0,0,0
12253474,K01947.01,Kepler-1425 rr,CANDIDATE,1.0,6.422943288,1.66,1034.0,269.8,3372.222222222222,4.447,9.33e-06,-9.33e-06,0,0,0,0
3764879,K02141.01,Kepler-5634 r,CANDIDATE,0.087,1.306984786,18.33,1754.0,2230.29,3372.222222222222,4.457,1.413e-06,-1.413e-06,0,0,0,0
9602613,K02612.01,Kepler-1994 b,CONFIRMED,0.856,4.61225043,0.51,1032.0,268.27,3035.0,4.442,3.445e-05,-3.445e-05,0,0,0,0
5807769,K02614.01,Kepler-1289 b,CONFIRMED,0.999,7.99022379,1.97,1113.0,361.73,3142.777777777778,4.065,5.341e-05,-5.341e-05,0,0,0,0
6041734,K02167.03,Kepler-1129 c,CONFIRMED,0.998,76.5369531,3.73,503.0,15.15,3091.1111111111113,4.105,0.0008236,-0.0008236,0,0,0,0
7601665,K07842.01,Kepler-3824 r,CANDIDATE,0.999,3.11141514,0.7,1530.0,1296.58,3565.5555555555557,4.297,4.97e-05,-4.97e-05,0,0,0,0
6606438,K02860.01,Kepler-1883 b,CONFIRMED,1.0,103.4269873,3.16,416.0,7.08,3431.1111111111113,4.454,0.0008676,-0.0008676,0,0,0,0
9149789,K02874.01,Kepler-6334 rr,CANDIDATE,0.989,0.352515897,1.0,2194.0,5534.14,3018.3333333333335,4.598,4.27e-07,-4.27e-07,0,0,0,0
7051984,K02879.01,Kepler-3196 rr,CANDIDATE,0.0,0.339069751,2.09,3653.0,41863.05,3122.777777777778,3.846,4.23e-07,-4.23e-07,0,0,0,0
5773121,K04002.01,Kepler-1932 b,CONFIRMED,1.0,0.524175803,1.27,1891.0,3049.23,2914.4444444444443,4.576,8.2e-07,-8.2e-07,0,0,0,0
4814502,K04004.01,Kepler-1933 b,CONFIRMED,1.0,4.94330596,1.41,1058.0,296.74,3127.222222222222,4.415,1.53e-05,-1.53e-05,0,0,0,0
8142787,K04005.01,Kepler-439 b,CONFIRMED,0.997,178.139072,2.25,291.0,1.7,2999.4444444444443,4.496,0.001897,-0.001897,0,0,0,0
7613620,K07843.01,Kepler-8638 r,CANDIDATE,0.8,0.619023176,0.79,1885.0,2985.06,2979.4444444444443,4.536,4.783e-06,-4.783e-06,0,0,0,0
3345675,K01772.01,Kepler-7764 rr,CANDIDATE,0.0,120.00336404,15.08,240.0,0.78,2379.4444444444443,4.627,8.032e-05,-8.032e-05,0,0,0,0
